t,OR Category L1,OR Category L2,counts
-1240,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1240,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1239,Employment Practices and Workplace Safety,Workplace Safety,1
-1239,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1237,External Fraud,Theft and Fraud (External Fraud),1
-1236,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1236,External Fraud,Theft and Fraud (External Fraud),1
-1234,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1233,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1233,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1233,External Fraud,Theft and Fraud (External Fraud),1
-1232,Clients Products and Business Practices,Advisory Activity,1
-1232,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1232,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1229,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1229,Internal Fraud,Unauthorised Activity,1
-1228,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1227,Business Disruption and System Failures,Transportation Disruption and Other Disruptions,1
-1226,Business Disruption and System Failures,Systems Failure,1
-1225,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1224,External Fraud,Theft and Fraud (External Fraud),1
-1222,Execution Delivery and Process Management,Suppliers,1
-1222,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",5
-1221,Clients Products and Business Practices,Advisory Activity,1
-1221,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1221,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1221,External Fraud,Theft and Fraud (External Fraud),1
-1220,Clients Products and Business Practices,Advisory Activity,2
-1220,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",5
-1219,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1218,Execution Delivery and Process Management,Clients' Accounts Management,1
-1218,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1218,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1217,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1216,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1216,External Fraud,Theft and Fraud (External Fraud),2
-1215,Execution Delivery and Process Management,Suppliers,1
-1215,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",5
-1214,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1214,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1212,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-1211,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1207,Clients Products and Business Practices,Advisory Activity,1
-1207,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1206,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1205,Clients Products and Business Practices,Defective Products,1
-1205,Clients Products and Business Practices,Improper Business or Market Practices,3
-1205,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1204,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1204,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1201,External Fraud,Theft and Fraud (External Fraud),1
-1200,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1200,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1199,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1198,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1197,Clients Products and Business Practices,Advisory Activity,1
-1197,Execution Delivery and Process Management,Clients' Accounts Management,1
-1197,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1194,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-1194,Internal Fraud,Unauthorised Activity,1
-1192,Clients Products and Business Practices,Advisory Activity,1
-1192,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1191,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1189,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1187,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1187,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1187,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1186,Business Disruption and System Failures,Systems Failure,1
-1186,Clients Products and Business Practices,Advisory Activity,1
-1186,Clients Products and Business Practices,Defective Products,1
-1186,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",2
-1186,External Fraud,Theft and Fraud (External Fraud),1
-1186,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1185,Execution Delivery and Process Management,Contractual Customer Documents,1
-1185,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1185,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1184,Execution Delivery and Process Management,Clients' Accounts Management,1
-1184,Execution Delivery and Process Management,Suppliers,1
-1184,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1184,External Fraud,Theft and Fraud (External Fraud),2
-1183,Business Disruption and System Failures,Systems Failure,1
-1180,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1180,External Fraud,Theft and Fraud (External Fraud),3
-1179,Clients Products and Business Practices,Advisory Activity,2
-1179,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-1178,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1178,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1177,Damage to Physical Assets,Disasters and other Events,1
-1177,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1177,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1176,Clients Products and Business Practices,Advisory Activity,1
-1176,External Fraud,Theft and Fraud (External Fraud),1
-1173,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1172,Clients Products and Business Practices,Advisory Activity,1
-1172,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1171,Clients Products and Business Practices,Improper Business or Market Practices,1
-1170,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1170,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1169,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-1167,Execution Delivery and Process Management,Suppliers,1
-1166,Business Disruption and System Failures,Systems Failure,1
-1166,Clients Products and Business Practices,Advisory Activity,2
-1166,Execution Delivery and Process Management,Clients' Accounts Management,1
-1166,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-1164,Business Disruption and System Failures,Systems Failure,1
-1164,Clients Products and Business Practices,Improper Business or Market Practices,1
-1164,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1164,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1163,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1162,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1162,External Fraud,Theft and Fraud (External Fraud),1
-1160,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1159,Execution Delivery and Process Management,Contractual Customer Documents,1
-1159,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1158,Business Disruption and System Failures,Systems Failure,1
-1158,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-1156,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1155,Clients Products and Business Practices,Defective Products,2
-1155,Execution Delivery and Process Management,Clients' Accounts Management,1
-1155,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1155,External Fraud,Theft and Fraud (External Fraud),2
-1152,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1152,Internal Fraud,Unauthorised Activity,1
-1151,Clients Products and Business Practices,Advisory Activity,1
-1150,Business Disruption and System Failures,Systems Failure,1
-1150,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1149,Business Disruption and System Failures,Systems Failure,1
-1148,Clients Products and Business Practices,Selection,1
-1148,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1147,External Fraud,Theft and Fraud (External Fraud),1
-1145,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1144,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1144,Execution Delivery and Process Management,Suppliers,1
-1144,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1143,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1142,Business Disruption and System Failures,Systems Failure,1
-1142,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-1141,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1140,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1138,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1138,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1137,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1137,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1136,Clients Products and Business Practices,Advisory Activity,1
-1136,Execution Delivery and Process Management,Clients' Accounts Management,1
-1136,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1136,External Fraud,Theft and Fraud (External Fraud),1
-1135,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1134,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1131,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1130,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1129,Clients Products and Business Practices,Advisory Activity,1
-1129,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1129,Internal Fraud,Theft and Fraud (Internal Fraud),2
-1128,Business Disruption and System Failures,Transportation Disruption and Other Disruptions,1
-1128,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1128,External Fraud,Theft and Fraud (External Fraud),1
-1128,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1127,Business Disruption and System Failures,Systems Failure,1
-1127,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1127,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1126,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1124,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1123,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",3
-1123,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1122,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1121,Clients Products and Business Practices,Selection,1
-1121,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1120,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1117,Clients Products and Business Practices,Advisory Activity,1
-1116,Execution Delivery and Process Management,Contractual Customer Documents,1
-1116,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1115,Clients Products and Business Practices,Advisory Activity,1
-1115,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1113,Clients Products and Business Practices,Advisory Activity,2
-1113,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-1111,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1110,Clients Products and Business Practices,Advisory Activity,1
-1110,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1110,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1109,Clients Products and Business Practices,Advisory Activity,1
-1109,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1109,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1108,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1107,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1107,Internal Fraud,Theft and Fraud (Internal Fraud),3
-1106,Clients Products and Business Practices,Defective Products,1
-1106,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1106,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1103,Clients Products and Business Practices,Advisory Activity,1
-1103,Execution Delivery and Process Management,Suppliers,1
-1103,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1102,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1101,Business Disruption and System Failures,Transportation Disruption and Other Disruptions,1
-1101,Clients Products and Business Practices,Improper Business or Market Practices,1
-1101,Execution Delivery and Process Management,Clients' Accounts Management,1
-1101,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1100,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1099,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1099,External Fraud,Theft and Fraud (External Fraud),1
-1098,Internal Fraud,Unauthorised Activity,1
-1097,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1096,Business Disruption and System Failures,Systems Failure,1
-1096,Clients Products and Business Practices,Selection,1
-1096,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",2
-1096,Execution Delivery and Process Management,Clients' Accounts Management,1
-1096,Execution Delivery and Process Management,Monitoring and Reporting,1
-1096,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1096,External Fraud,Theft and Fraud (External Fraud),4
-1096,Internal Fraud,Theft and Fraud (Internal Fraud),2
-1095,Clients Products and Business Practices,Improper Business or Market Practices,1
-1095,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1095,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1095,Employment Practices and Workplace Safety,Human Resources Management,1
-1095,Execution Delivery and Process Management,Clients' Accounts Management,1
-1095,Execution Delivery and Process Management,Contractual Customer Documents,1
-1095,Execution Delivery and Process Management,Monitoring and Reporting,1
-1095,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1095,External Fraud,Theft and Fraud (External Fraud),3
-1094,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1093,Clients Products and Business Practices,Improper Business or Market Practices,1
-1093,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1093,Execution Delivery and Process Management,Monitoring and Reporting,1
-1091,Clients Products and Business Practices,Advisory Activity,1
-1091,Clients Products and Business Practices,Improper Business or Market Practices,1
-1091,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1087,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1086,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1085,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1084,Clients Products and Business Practices,Improper Business or Market Practices,1
-1084,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1083,Business Disruption and System Failures,Systems Failure,1
-1083,Clients Products and Business Practices,Advisory Activity,1
-1083,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1080,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1079,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1079,Execution Delivery and Process Management,Contractual Customer Documents,2
-1078,Execution Delivery and Process Management,Suppliers,1
-1078,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1077,Clients Products and Business Practices,Advisory Activity,1
-1073,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1072,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1071,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1071,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1070,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1069,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1069,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1067,Business Disruption and System Failures,Systems Failure,1
-1067,External Fraud,Theft and Fraud (External Fraud),1
-1066,External Fraud,Theft and Fraud (External Fraud),16
-1065,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1065,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1065,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1064,Clients Products and Business Practices,Improper Business or Market Practices,1
-1064,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1063,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1063,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1062,Business Disruption and System Failures,Systems Failure,1
-1059,Execution Delivery and Process Management,Contractual Customer Documents,1
-1059,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",6
-1058,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1057,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1056,Business Disruption and System Failures,Systems Failure,1
-1056,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1055,Clients Products and Business Practices,Advisory Activity,2
-1055,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",2
-1055,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1055,Execution Delivery and Process Management,Contractual Customer Documents,2
-1055,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",6
-1051,Execution Delivery and Process Management,Contractual Customer Documents,1
-1050,Clients Products and Business Practices,Defective Products,1
-1050,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1050,External Fraud,Theft and Fraud (External Fraud),1
-1050,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1049,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1049,Execution Delivery and Process Management,Contractual Customer Documents,2
-1049,Execution Delivery and Process Management,Suppliers,1
-1049,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1048,Clients Products and Business Practices,Advisory Activity,1
-1048,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1045,Clients Products and Business Practices,Improper Business or Market Practices,1
-1045,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1044,External Fraud,Theft and Fraud (External Fraud),1
-1043,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1042,Business Disruption and System Failures,Systems Failure,1
-1042,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1041,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1041,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1038,Clients Products and Business Practices,Advisory Activity,1
-1038,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",5
-1037,Business Disruption and System Failures,Systems Failure,1
-1037,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-1037,Execution Delivery and Process Management,Contractual Customer Documents,1
-1037,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1037,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1036,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1035,Business Disruption and System Failures,Systems Failure,1
-1035,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",5
-1035,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1034,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1031,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1031,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1031,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1029,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1028,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1028,External Fraud,Theft and Fraud (External Fraud),1
-1027,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",2
-1024,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1023,Clients Products and Business Practices,Improper Business or Market Practices,1
-1023,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1022,External Fraud,Theft and Fraud (External Fraud),1
-1021,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1020,External Fraud,Theft and Fraud (External Fraud),1
-1017,External Fraud,Theft and Fraud (External Fraud),1
-1017,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1017,Internal Fraud,Unauthorised Activity,1
-1016,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",2
-1015,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1014,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1014,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1013,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",2
-1013,External Fraud,Theft and Fraud (External Fraud),1
-1010,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-1010,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1009,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-1008,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1007,Execution Delivery and Process Management,Monitoring and Reporting,1
-1007,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-1007,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1006,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1006,Internal Fraud,Theft and Fraud (Internal Fraud),1
-1004,Execution Delivery and Process Management,Suppliers,1
-1004,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1004,External Fraud,Theft and Fraud (External Fraud),1
-1003,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-1003,External Fraud,Theft and Fraud (External Fraud),1
-1002,Clients Products and Business Practices,Advisory Activity,1
-1002,Execution Delivery and Process Management,Contractual Customer Documents,1
-1002,Execution Delivery and Process Management,Monitoring and Reporting,1
-1002,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-1002,External Fraud,Theft and Fraud (External Fraud),1
-1001,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-999,Clients Products and Business Practices,Advisory Activity,1
-996,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-995,Execution Delivery and Process Management,Contractual Customer Documents,1
-994,Clients Products and Business Practices,Selection,1
-994,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-993,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-990,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-989,Execution Delivery and Process Management,Suppliers,1
-989,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-989,External Fraud,Theft and Fraud (External Fraud),1
-988,Execution Delivery and Process Management,Contractual Customer Documents,1
-988,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-987,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-986,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-985,Internal Fraud,Theft and Fraud (Internal Fraud),1
-981,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-980,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-979,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-978,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-975,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-974,Business Disruption and System Failures,Systems Failure,1
-974,Execution Delivery and Process Management,Suppliers,1
-974,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",7
-973,Business Disruption and System Failures,Systems Failure,1
-973,Execution Delivery and Process Management,Suppliers,1
-968,Execution Delivery and Process Management,Suppliers,1
-968,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-967,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-966,Execution Delivery and Process Management,Clients' Accounts Management,1
-966,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-965,Clients Products and Business Practices,Advisory Activity,1
-965,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-964,Execution Delivery and Process Management,Contractual Customer Documents,1
-964,Execution Delivery and Process Management,Suppliers,1
-961,Clients Products and Business Practices,Advisory Activity,1
-961,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-960,Internal Fraud,Theft and Fraud (Internal Fraud),1
-958,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-954,Clients Products and Business Practices,Improper Business or Market Practices,1
-954,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-953,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-953,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-953,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-952,Execution Delivery and Process Management,Suppliers,1
-952,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-951,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-950,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-949,External Fraud,Theft and Fraud (External Fraud),1
-947,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-946,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-945,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-944,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-943,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",6
-943,External Fraud,Theft and Fraud (External Fraud),2
-943,Internal Fraud,Theft and Fraud (Internal Fraud),2
-942,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-940,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-939,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-938,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-937,Execution Delivery and Process Management,Contractual Customer Documents,1
-936,External Fraud,Theft and Fraud (External Fraud),1
-933,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-931,Clients Products and Business Practices,Selection,1
-931,Execution Delivery and Process Management,Monitoring and Reporting,1
-930,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-929,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-926,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-925,Execution Delivery and Process Management,Clients' Accounts Management,1
-925,Execution Delivery and Process Management,Monitoring and Reporting,1
-924,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-923,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-923,External Fraud,Theft and Fraud (External Fraud),1
-922,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-922,External Fraud,Theft and Fraud (External Fraud),2
-921,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-920,External Fraud,Theft and Fraud (External Fraud),1
-918,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-916,Business Disruption and System Failures,Systems Failure,1
-916,Execution Delivery and Process Management,Clients' Accounts Management,1
-916,Execution Delivery and Process Management,Contractual Customer Documents,1
